2025-01-08 15:23:47 +0000,2025-01-08 15:23:47 +0000,84
2025-01-08 15:23:49 +0000,2025-01-08 15:23:49 +0000,87
2025-01-08 15:23:58 +0000,2025-01-08 15:23:58 +0000,82
2025-01-08 15:24:03 +0000,2025-01-08 15:24:03 +0000,83
2025-01-08 15:24:04 +0000,2025-01-08 15:24:04 +0000,82
2025-01-08 15:24:12 +0000,2025-01-08 15:24:12 +0000,84
2025-01-08 15:24:15 +0000,2025-01-08 15:24:15 +0000,84
2025-01-08 15:24:20 +0000,2025-01-08 15:24:20 +0000,84
2025-01-08 15:24:24 +0000,2025-01-08 15:24:24 +0000,84
2025-01-08 15:24:29 +0000,2025-01-08 15:24:29 +0000,87
2025-01-08 15:24:38 +0000,2025-01-08 15:24:38 +0000,80
2025-01-08 15:24:43 +0000,2025-01-08 15:24:43 +0000,81
2025-01-08 15:24:48 +0000,2025-01-08 15:24:48 +0000,83
2025-01-08 15:24:49 +0000,2025-01-08 15:24:49 +0000,84
