2025-01-08 15:34:48 +0000,2025-01-08 15:34:48 +0000,94
2025-01-08 15:34:53 +0000,2025-01-08 15:34:53 +0000,90
2025-01-08 15:34:54 +0000,2025-01-08 15:34:54 +0000,89
2025-01-08 15:35:03 +0000,2025-01-08 15:35:03 +0000,101
2025-01-08 15:35:08 +0000,2025-01-08 15:35:08 +0000,107
2025-01-08 15:35:10 +0000,2025-01-08 15:35:10 +0000,108
2025-01-08 15:35:18 +0000,2025-01-08 15:35:18 +0000,95
2025-01-08 15:35:23 +0000,2025-01-08 15:35:23 +0000,91
2025-01-08 15:35:28 +0000,2025-01-08 15:35:28 +0000,88
2025-01-08 15:35:29 +0000,2025-01-08 15:35:29 +0000,89
2025-01-08 15:35:34 +0000,2025-01-08 15:35:34 +0000,89
2025-01-08 15:35:42 +0000,2025-01-08 15:35:42 +0000,95
