2025-01-09 15:59:03 +0000,2025-01-09 15:59:03 +0000,93
2025-01-09 15:59:08 +0000,2025-01-09 15:59:08 +0000,87
2025-01-09 15:59:09 +0000,2025-01-09 15:59:09 +0000,89
2025-01-09 15:59:18 +0000,2025-01-09 15:59:18 +0000,101
2025-01-09 15:59:23 +0000,2025-01-09 15:59:23 +0000,96
2025-01-09 15:59:25 +0000,2025-01-09 15:59:25 +0000,96
2025-01-09 15:59:33 +0000,2025-01-09 15:59:33 +0000,98
2025-01-09 15:59:37 +0000,2025-01-09 15:59:37 +0000,95
2025-01-09 15:59:39 +0000,2025-01-09 15:59:39 +0000,96
2025-01-09 15:59:44 +0000,2025-01-09 15:59:44 +0000,96
2025-01-09 15:59:53 +0000,2025-01-09 15:59:53 +0000,97
2025-01-09 15:59:58 +0000,2025-01-09 15:59:58 +0000,97
2025-01-09 16:00:03 +0000,2025-01-09 16:00:03 +0000,97
2025-01-09 16:00:04 +0000,2025-01-09 16:00:04 +0000,97
2025-01-09 16:00:13 +0000,2025-01-09 16:00:13 +0000,92
2025-01-09 16:00:18 +0000,2025-01-09 16:00:18 +0000,102
2025-01-09 16:00:19 +0000,2025-01-09 16:00:19 +0000,102
2025-01-09 16:00:24 +0000,2025-01-09 16:00:24 +0000,96
2025-01-09 16:00:33 +0000,2025-01-09 16:00:33 +0000,87
